x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,magnitude_acc,timestamp,screen
0.7844710757345605,0.6268633438345436,0.4904629901382636,0.4350016497656841,0.5721371967141285,0.6132047598758172,0.48972888311669144,2023-01-01 00:06:00,ReactonGame
0.49455803997357906,0.8232136836734603,0.3641982892161142,0.676412364755295,0.41675475914169957,0.4460063003962872,0.6261630837007545,2023-01-01 00:12:00,FocusGame
0.5102292854092988,0.3973996852572548,0.161820157833375,0.6677163079775553,0.8383051821725975,0.33359903182988465,0.5793283024730874,2023-01-01 00:17:00,FocusGame
0.3118839675748438,0.5799956660287005,0.5246298606346843,0.740441291065024,0.3478187361157151,0.6013188582027539,0.18059584183676214,2023-01-01 00:28:00,SpeedyGame
0.31165244431959205,0.4350883527436219,0.6225577153568196,0.5674556998567554,0.31019769857115753,0.16857048151856557,0.23213286651245285,2023-01-01 00:30:00,MemoriaGame
0.843671059198469,0.20027886639247428,0.330695253140017,0.662675823217168,0.4665965699877746,0.7155603984518708,0.7754945919721631,2023-01-01 00:31:00,SpeedyGame
0.6204271051168679,0.39751605306163906,0.664040267224769,0.3692516255126859,0.5445901838147935,0.3629974931156114,0.360604955183161,2023-01-01 00:34:00,MemoriaGame
0.01724888180178996,0.23425704085275897,0.4068431669060927,0.6100365023075656,0.29152228723320495,0.4810338981469734,0.716550233145779,2023-01-01 00:37:00,MathisisGame
0.41702884263148654,0.6573936741666376,0.40436412460932375,0.3739000491294404,0.419791569108594,0.3076459900370232,0.28712973819099774,2023-01-01 00:42:00,SpeedyGame
0.37682250876008233,0.47150560341726083,0.5152372969412791,0.517673950076331,0.3592622533325363,0.4164250434336453,0.0,2023-01-01 00:43:00,MathisisGame
0.29534591029572355,0.5601142063310647,0.38239610407294095,0.7012269458049686,0.44585160511504923,0.48964983916732924,0.2409105919624181,2023-01-01 00:52:00,ReactonGame
0.6656196153694482,0.386348237499878,0.26966896299185206,0.8368457608999591,0.6272054753603553,0.5366480097297744,0.47883282406420885,2023-01-01 00:54:00,MemoriaGame
0.644000663641158,0.3661622146788094,0.35598405187186716,0.8049971086058625,0.5527697805844498,0.29051353964219395,0.35539293911955333,2023-01-01 00:55:00,ReactonGame
0.3382171989930105,0.6063152093004696,0.6297327644139308,0.7803936614972684,0.48251260989342803,0.45870654918864134,0.3003477600191757,2023-01-01 01:00:00,ReactonGame
0.4018506750060364,0.003946680571851602,0.46774933249916445,0.551499498473369,0.378079298580441,0.5868356648480422,0.8357398655168026,2023-01-01 01:01:00,ReactonGame
